id,artist_name,sc_alias
1,009 Sound System,No Soundcloud Found
2,2 Unlimited,x
3,49ers,joe-castellano
4,808 State,No Soundcloud Found
5,A-Trak,a-trak
6,ABC,abc-open
7,Adam X,sonic-groove-records
8,Adeva,No Soundcloud Found
9,Adonis,adonis-band
10,Afrojack,afrojack
11,AgNO3,theagno3
12,Alec Empire,alec_empire
13,Alesso,alesso
14,Alex Gaudino,djalexgaudino
15,Alex Party,alex
16,Alexandra Prince,No Soundcloud Found
17,Alexandra Stan,No Soundcloud Found
18,Alison Limerick,magnifik
19,Amber,amberrunofficial
20,Ananda Project,ananda-project
21,Anane,anane-vega
22,Angie Brown,realangiebrown
23,Ann Nesby,No Soundcloud Found
24,AnnaGrace,annagrace
25,Annie Mac,annie-mac-presents
26,Anthony Pappa,anthonypappa
27,Antoine Clamaran,antoineclamaran
28,Armand Van Helden,armandvanhelden
29,Armin van Buuren,arminvanbuuren
30,Art Department,artdepartment
31,Arty,arty_music
32,Ashley Beedle,ashley-beedle
33,The Aston Shuffle,theastonshuffle
34,The Avalanches,theavalanches
35,Avicii,aviciiofficial
36,Axwell,axwell
37,Aya,aya_music
38,ATB,atb-music
39,B.E.D.,ghostbed
40,"B.G., the Prince of Rap",No Soundcloud Found
41,Bad Boy Bill,djbadboybill
42,Bag Raiders,bagraiders
43,Barbara Tucker,No Soundcloud Found
44,The Basement Boys,No Soundcloud Found
45,Basement Jaxx,basement-jaxx
46,Beatmasters,beatmasterschicago
47,Bellatrax,No Soundcloud Found
48,Benny Benassi,benny-benassi
49,Billie Ray Martin,billie-ray-martin
50,Bingo Players,bingoplayers
51,Bingoboys,No Soundcloud Found
52,Bizarre Inc,No Soundcloud Found
53,Black Box,blackboxofficiall
54,Blasterjaxx,blasterjaxx
55,Blaze,just-blaze
56,The Bloody Beetroots,thebloodybeetroots
57,Blue Pearl,No Soundcloud Found
58,Blue Six,No Soundcloud Found
59,Bob Sinclar,bobsinclar
60,BodyRockers,No Soundcloud Found
61,Bomb the Bass,bombthebassrecords
62,Boogie Pimps,boogiepimps
63,Booka Shade,booka-shade
64,Boris Dlugosch,borisfromhamburg
65,Brad Carter,thebradcarter
66,Brian Butler,brianrouth
67,Brooklyn Bounce,No Soundcloud Found
68,Brother Brown,sieed-brown
69,Brothers in Rhythm,bombossa-brothers
70,BT,bt
71,The Buffalo Bunch,No Soundcloud Found
72,Busy P,No Soundcloud Found
73,Byron Stingily,No Soundcloud Found
74,C+C Music Factory,No Soundcloud Found
75,Calvin Harris,calvinharris
76,Cappella,chromatones-a-cappella
77,Captain Hollywood Project,No Soundcloud Found
78,Carl Cox,carl-cox
79,Carol Jiani,No Soundcloud Found
80,Cash Cash,cashcash
81,Cassius,cassiusofficial
82,The Cataracs,thecataracs
83,Cathy Dennis,x
84,CeCe Peniston,No Soundcloud Found
85,CeCe Rogers,No Soundcloud Found
86,Celeda,No Soundcloud Found
87,The Chainsmokers,thechainsmokers
88,Charles Schillings,charles-schillings
89,The Chemical Brothers,the-chemical-brothers
90,Chicane,chicanemusic
91,Chip E.,chipe-1
92,Chocolate Puma,chocolate-puma
93,Chris Brann,chris-brann
94,Chris Fortier,chris-fortier
95,Chris Lake,chrislake
96,Chuckie,djchuckie
97,Clazziquai,No Soundcloud Found
98,Clean Bandit,cleanbandit
99,CLMD (Carl Louis & Martin Danielle),No Soundcloud Found
100,Club 69,No Soundcloud Found
101,Cobra Starship,cobrastarship
102,Cold Blank,coldblank
103,Coldcut,coldcut
104,Colonel Abrams,No Soundcloud Found
105,Colton Ford,No Soundcloud Found
106,Corona,corona_massimo
107,Crookers,crookers
108,Crystal Waters,No Soundcloud Found
109,Curtis Jones,curtisjones-3
110,D Mob,No Soundcloud Found
111,D:Fuse,djdfuse
112,D:Ream,the-dream
113,Da Mob,No Soundcloud Found
114,Dada Life,dada-life
115,Dada Nada,dada-life
116,Daft Punk,daft-punk-anthology
117,Daisy Dee,x
118,Dajae,No Soundcloud Found
119,Daniel Desnoyers,danielnessmusic
120,Dannii Minogue,No Soundcloud Found
121,Danny Tenaglia,danny-tenaglia-official
122,Darin Epsilon,darinepsilon
123,Daphne Rubin-Vega,upload
