exception,artist_num,artist_follower_num,artist_alias,follower_alias
no exception,1,1,loco_ono,pschedelicsuperfuzz
no exception,1,2,loco_ono,d-miller
no exception,1,3,loco_ono,temporarynoiseradio
no exception,1,4,loco_ono,user-102056986
no exception,1,5,loco_ono,jawman-2
no exception,1,6,loco_ono,sotnrecords
no exception,1,7,loco_ono,daybreak0
no exception,1,8,loco_ono,brixtonradio
no exception,1,9,loco_ono,b-lap
no exception,1,10,loco_ono,thecaress
no exception,1,11,loco_ono,madisonmayhouse
no exception,1,12,loco_ono,dylan-trenouth-1
no exception,1,13,loco_ono,dizzy_sound
no exception,1,14,loco_ono,wannaballoon
no exception,1,15,loco_ono,kugey
no exception,1,16,loco_ono,tigerheretigergone
no exception,1,17,loco_ono,properyarn
no exception,1,18,loco_ono,thesoundofeverythinguk
no exception,1,19,loco_ono,roadkillrecordsofficial
no exception,1,20,loco_ono,musicfansmic
no exception,1,21,loco_ono,dj-moron
no exception,1,22,loco_ono,heartbreakingbravery
no exception,1,23,loco_ono,jointhepressure
no exception,1,24,loco_ono,damnably
no exception,1,25,loco_ono,worse-off
no exception,1,26,loco_ono,stolen-wheels-band
no exception,1,27,loco_ono,nicklaw-1
no exception,1,28,loco_ono,elliot-avery-brookes
no exception,1,29,loco_ono,sam-birkett-1
no exception,1,30,loco_ono,bagzby
no exception,1,31,loco_ono,lorraine-morton-1
no exception,1,32,loco_ono,gracez123
no exception,1,33,loco_ono,user538390848
no exception,1,34,loco_ono,grooovybuddha
no exception,1,35,loco_ono,user559636563
no exception,1,36,loco_ono,monika-stachova
no exception,1,37,loco_ono,user-490868704
no exception,1,38,loco_ono,bottleneck-bob
no exception,1,39,loco_ono,tarabud
no exception,1,40,loco_ono,the_suspects
no exception,1,41,loco_ono,darren-hankin
no exception,1,42,loco_ono,joehenrik
no exception,1,43,loco_ono,lisa-knight-8
no exception,1,44,loco_ono,the-mind-at-large
no exception,1,45,loco_ono,kevingrist
no exception,1,46,loco_ono,losangeleslovesyou
no exception,1,47,loco_ono,wintermute-tapes
no exception,1,48,loco_ono,killrpnzl
no exception,1,49,loco_ono,stiv69
no exception,1,50,loco_ono,jose-bat
no exception,1,51,loco_ono,tosha-gee
no exception,1,52,loco_ono,thestickfigures
no exception,1,53,loco_ono,fourquartersband
no exception,1,54,loco_ono,felyyyyy
no exception,1,55,loco_ono,notneb-yakcm
no exception,1,56,loco_ono,soho-stoner
no exception,1,57,loco_ono,whitenoisenight
no exception,1,58,loco_ono,elle_music
no exception,2,1,abc-open,sarah-southcoast
no exception,2,2,abc-open,rosemccloud1883
no exception,2,3,abc-open,user-417157068
no exception,2,4,abc-open,nyanya246564
no exception,2,5,abc-open,almighty62369
no exception,2,6,abc-open,yarra-campaign
no exception,2,7,abc-open,young-shizzie
no exception,2,8,abc-open,itsjustjordan94
no exception,2,9,abc-open,malikwilliamson
no exception,2,10,abc-open,carolynalexoxo
no exception,2,11,abc-open,user-984076338
no exception,2,12,abc-open,jed-heyman
no exception,2,13,abc-open,jahh2x
no exception,2,14,abc-open,dennardrose
no exception,2,15,abc-open,mpavilion
no exception,2,16,abc-open,maddoxjarredbrody
no exception,2,17,abc-open,justanotherjulie
no exception,2,18,abc-open,destinypatton
no exception,2,19,abc-open,aboutdavidmilbergdds
no exception,2,20,abc-open,ayman-alashwal
no exception,2,21,abc-open,noideakate
no exception,2,22,abc-open,user-892599750
no exception,2,23,abc-open,feed-the-kitty
no exception,2,24,abc-open,jameswashingtonx
no exception,2,25,abc-open,veronikatraynor
no exception,2,26,abc-open,calium_haley
no exception,2,27,abc-open,ohetidunuza
no exception,2,28,abc-open,xjesscummings0
no exception,2,29,abc-open,jacbowie
no exception,2,30,abc-open,sam-peter-music
no exception,2,31,abc-open,ekaidon
no exception,2,32,abc-open,sue-b-10
no exception,2,33,abc-open,harshal-wagle
no exception,2,34,abc-open,bruce-bylsma
no exception,2,35,abc-open,user-13495224
no exception,2,36,abc-open,danielle-miller-583907484
no exception,2,37,abc-open,user-108009830
no exception,2,38,abc-open,maree-odwyer
no exception,2,39,abc-open,darrenguthrieau
no exception,2,40,abc-open,jimmymaidacloc
no exception,2,41,abc-open,tbodley
no exception,2,42,abc-open,mohamed-galal-225
no exception,2,43,abc-open,sherif-bastamy
no exception,2,44,abc-open,tillsta
no exception,2,45,abc-open,miso-scoop
no exception,2,46,abc-open,dan0-007
no exception,2,47,abc-open,crowdqast
no exception,2,48,abc-open,espinozaweaver2931
no exception,2,49,abc-open,martha-bea
no exception,2,50,abc-open,1233newcastle
no exception,2,51,abc-open,musicwa
no exception,2,52,abc-open,abcsplasheducation
no exception,2,53,abc-open,danstuckey
no exception,2,54,abc-open,home-living-brent
no exception,2,55,abc-open,abc-great-southern
no exception,2,56,abc-open,profedenglish
no exception,2,57,abc-open,mrdaverobbo
no exception,2,58,abc-open,belairjo
no exception,2,59,abc-open,susan-rattray
no exception,2,60,abc-open,mamed
no exception,2,61,abc-open,patient-little-sister
no exception,2,62,abc-open,abc-radio-victoria
no exception,2,63,abc-open,byrnibowl
no exception,2,64,abc-open,zetzero
no exception,2,65,abc-open,meghan-woods
no exception,2,66,abc-open,ramy-essam-eldin-galal
no exception,2,67,abc-open,user981415326
no exception,2,68,abc-open,user479257181
no exception,2,69,abc-open,user153307322
no exception,2,70,abc-open,flora-the-cat
no exception,2,71,abc-open,ted-bassingthwaighte
no exception,2,72,abc-open,yarra-bicycle-users-group
no exception,2,73,abc-open,user-51848531
no exception,2,74,abc-open,rod3000
no exception,2,75,abc-open,banditfilmz
no exception,2,76,abc-open,victoriahr
no exception,2,77,abc-open,richard-de-martin
no exception,2,78,abc-open,abc-open-southeastnsw
no exception,2,79,abc-open,bernadette-nunn
no exception,2,80,abc-open,radiotraining
no exception,2,81,abc-open,johner-5
no exception,2,82,abc-open,koshka-6
no exception,2,83,abc-open,user-433011754
no exception,2,84,abc-open,peckthechoc
no exception,2,85,abc-open,killinnosense79
no exception,2,86,abc-open,deanewilliams
no exception,2,87,abc-open,michael-bromage
no exception,2,88,abc-open,redlory
no exception,2,89,abc-open,abcopeneastkimberley
no exception,2,90,abc-open,leona-devaz-1
no exception,2,91,abc-open,lindseygreen
no exception,2,92,abc-open,naomioconnell
no exception,2,93,abc-open,abc-open-gold-coast
no exception,2,94,abc-open,nixong-1
no exception,2,95,abc-open,abc-open-northern-tas
no exception,2,96,abc-open,nicolereneelee
no exception,2,97,abc-open,user161424017
no exception,2,98,abc-open,elysiaruttley-1
no exception,2,99,abc-open,user281503632
no exception,2,100,abc-open,brontideaether
no exception,2,101,abc-open,luke-wong1
no exception,2,102,abc-open,medicinalherbs
no exception,2,103,abc-open,936-abc-hobart
no exception,2,104,abc-open,abcfarnorth
no exception,2,105,abc-open,tsdsound
no exception,2,106,abc-open,abc-open-central-victoria
no exception,2,107,abc-open,mishasoul
no exception,2,108,abc-open,42en0480ejnu
no exception,2,109,abc-open,lenatunes
no exception,2,110,abc-open,abcwidebay
no exception,2,111,abc-open,renitzc
no exception,2,112,abc-open,kellibrett
no exception,2,113,abc-open,spunstories
no exception,2,114,abc-open,lgaq
no exception,2,115,abc-open,lytsband
no exception,2,116,abc-open,amp-arts
no exception,2,117,abc-open,lodge-2
no exception,2,118,abc-open,benhr
no exception,2,119,abc-open,abc-western-queensland
no exception,2,120,abc-open,musicfighter
no exception,2,121,abc-open,ali-ramsay
no exception,2,122,abc-open,yowsers
no exception,2,123,abc-open,jo-hibberd
no exception,2,124,abc-open,kiki-ckk
no exception,2,125,abc-open,susan-standen
no exception,2,126,abc-open,story-store
no exception,2,127,abc-open,user773082461
no exception,2,128,abc-open,user-312121919
no exception,2,129,abc-open,user-760559658
no exception,2,130,abc-open,rkh1981
no exception,2,131,abc-open,anthony-gherghetta
no exception,2,132,abc-open,abcopen-southcoast-wa
no exception,2,133,abc-open,shelley-lloyd-abc
no exception,2,134,abc-open,daniel-abcopen-riverland
no exception,2,135,abc-open,carrie-mayne
no exception,2,136,abc-open,liz_bradshaw
no exception,2,137,abc-open,jessicahinchliffe
no exception,2,138,abc-open,catherine-mahony
no exception,2,139,abc-open,generationj-podcast
no exception,2,140,abc-open,alyce_taylor_uow
no exception,2,141,abc-open,natashacann
no exception,2,142,abc-open,arianthe
no exception,2,143,abc-open,paul-j-french
no exception,2,144,abc-open,dt_downunder
no exception,2,145,abc-open,katreeeena
no exception,2,146,abc-open,hotel-journalist
no exception,2,147,abc-open,sharyn-brand
no exception,2,148,abc-open,tracey-preston-5
no exception,2,149,abc-open,sarah-jacko-750054256
no exception,2,150,abc-open,sburke66
no exception,2,151,abc-open,abcnsw
no exception,2,152,abc-open,mlbernstein
no exception,2,153,abc-open,ben-tupas
no exception,2,154,abc-open,774-abc-melbourne
no exception,2,155,abc-open,natfigbar
no exception,2,156,abc-open,sunnyelliott
no exception,2,157,abc-open,ben-millington-3
no exception,2,158,abc-open,amworldtodaypm
no exception,2,159,abc-open,louise-love
no exception,2,160,abc-open,abc-open-broken-hill
no exception,2,161,abc-open,wayne-krumbach
no exception,2,162,abc-open,buriedalivemanagement
no exception,2,163,abc-open,willkabc
no exception,2,164,abc-open,cfsmtb
no exception,2,165,abc-open,ajscully
no exception,2,166,abc-open,jim
no exception,2,167,abc-open,benfawkes
no exception,2,168,abc-open,awrd
no exception,2,169,abc-open,australian_norwegian
no exception,2,170,abc-open,wordbiz
no exception,2,171,abc-open,jorgebautista-2
no exception,2,172,abc-open,serena-j
no exception,2,173,abc-open,abc-overnights
no exception,2,174,abc-open,inkredible_em
no exception,2,175,abc-open,walterheisenburg
no exception,2,176,abc-open,byron-norman
no exception,2,177,abc-open,susanne-kitchener
no exception,2,178,abc-open,organ-grinder
no exception,2,179,abc-open,hyperion_tapes
no exception,2,180,abc-open,soundcloud-workshop
no exception,2,181,abc-open,alanindarwin
no exception,2,182,abc-open,kaity-lawrence
no exception,2,183,abc-open,aplacecalledhome-1
no exception,2,184,abc-open,ausyoulater
no exception,2,185,abc-open,roxannelawrence
