exception,artist_num,artist_follower_num,artist_alias,follower_alias,comments_count,followers_count,followings_count,last_modified,likes_count,plan,playlist_count,public_favorites_count,reposts_count,track_count,uri,username
no exception,1,1,loco_ono,pschedelicsuperfuzz,14,147,212,2015/09/19 09:13:17 +0000,0,Free,1,0,2,8,https://api.soundcloud.com/users/10234220,Matt Catling
no exception,1,2,loco_ono,d-miller,45,177,421,2016/11/27 16:55:02 +0000,0,Free,4,0,6,31,https://api.soundcloud.com/users/2985327,Dirty Mind Detroit
no exception,1,3,loco_ono,temporarynoiseradio,19,140,222,2016/12/12 17:09:39 +0000,0,Pro Unlimited,1,0,0,30,https://api.soundcloud.com/users/56685460,Temporary Noise Radio
no exception,1,4,loco_ono,user-102056986,8,39,175,2016/09/22 13:22:17 +0000,0,Free,1,0,18,0,https://api.soundcloud.com/users/256453133,Daisydaresya
no exception,1,5,loco_ono,jawman-2,0,7,25,2015/12/21 00:21:34 +0000,0,Free,0,0,0,1,https://api.soundcloud.com/users/13888362,JAWman
no exception,1,6,loco_ono,sotnrecords,2,340,688,2016/09/07 11:56:22 +0000,0,Free,2,0,60,0,https://api.soundcloud.com/users/28802691,SOTNRecords
no exception,1,7,loco_ono,daybreak0,71,79,1925,2016/10/17 22:36:09 +0000,0,Free,2,0,202,0,https://api.soundcloud.com/users/163107060,Daybreak
no exception,1,8,loco_ono,brixtonradio,0,579,1591,2016/06/06 09:43:48 +0000,0,Free,388,0,1305,6,https://api.soundcloud.com/users/38997268,brixtonradio
no exception,1,9,loco_ono,b-lap,13,79,394,2016/10/15 12:33:14 +0000,0,Free,4,0,45,7,https://api.soundcloud.com/users/98489658,B-Lap
no exception,1,10,loco_ono,thecaress,0,72,233,2016/12/01 22:09:59 +0000,0,Pro,1,0,2,4,https://api.soundcloud.com/users/230501946,The Caress
no exception,1,11,loco_ono,madisonmayhouse,0,143,1120,2016/11/30 01:08:23 +0000,0,Free,0,0,79,0,https://api.soundcloud.com/users/213558112,Madison
no exception,1,12,loco_ono,dylan-trenouth-1,9,100,73,2016/11/29 22:33:03 +0000,0,Free,2,0,0,7,https://api.soundcloud.com/users/152164962,Dylan Trenouth
no exception,1,13,loco_ono,dizzy_sound,7,1064,1472,2016/03/07 04:54:26 +0000,0,Free,0,0,1,25,https://api.soundcloud.com/users/78378849,dizzy_sound
no exception,1,14,loco_ono,wannaballoon,0,26,35,2016/11/22 15:29:47 +0000,0,Free,2,0,0,10,https://api.soundcloud.com/users/159479017,WANNABALLOON
no exception,1,15,loco_ono,kugey,1,144,377,2016/11/14 16:53:55 +0000,0,Free,0,0,648,8,https://api.soundcloud.com/users/3963323,kugey
no exception,1,16,loco_ono,tigerheretigergone,58,467,1581,2016/11/29 00:10:10 +0000,0,Free,1,0,1,26,https://api.soundcloud.com/users/2448541,Tiger Here Tiger Gone
no exception,1,17,loco_ono,properyarn,51,293,986,2016/06/30 18:07:32 +0000,0,Free,4,0,773,0,https://api.soundcloud.com/users/20968690,ProperYarn
no exception,1,18,loco_ono,thesoundofeverythinguk,9,171,198,2016/09/07 14:26:15 +0000,0,Free,7,0,2,35,https://api.soundcloud.com/users/145742841,TheSoundofEverything UK
no exception,1,19,loco_ono,roadkillrecordsofficial,1,50,95,2016/11/01 15:47:03 +0000,0,Free,7,0,4,8,https://api.soundcloud.com/users/176431319,Roadkill Records
no exception,1,20,loco_ono,musicfansmic,17,2176,2000,2016/05/17 20:21:39 +0000,0,Free,1,0,229,19,https://api.soundcloud.com/users/11865,Music Fan's Mic
no exception,1,21,loco_ono,dj-moron,5,93,538,2016/10/27 08:33:27 +0000,0,Free,9,0,378,0,https://api.soundcloud.com/users/65321213,DJ Moron
no exception,1,22,loco_ono,heartbreakingbravery,0,74,156,2016/04/19 19:50:46 +0000,0,Free,0,0,0,7,https://api.soundcloud.com/users/183037852,Heartbreaking Bravery
no exception,1,23,loco_ono,jointhepressure,94,279,188,2016/04/21 09:52:37 +0000,0,Free,31,0,0,1,https://api.soundcloud.com/users/4260381,PUBLIC PRESSURE
no exception,1,24,loco_ono,damnably,16,641,135,2016/11/30 18:05:54 +0000,0,Pro Unlimited,19,0,4,150,https://api.soundcloud.com/users/2218446,Damnably Records
no exception,1,25,loco_ono,worse-off,4,63,57,2016/09/09 17:33:35 +0000,0,Free,2,0,0,34,https://api.soundcloud.com/users/202855893,Worse Off
no exception,1,26,loco_ono,stolen-wheels-band,0,745,1738,2016/08/07 13:09:45 +0000,0,Free,1,0,0,6,https://api.soundcloud.com/users/207971297,Stolen Wheels Band
no exception,1,27,loco_ono,nicklaw-1,0,255,1594,2016/11/10 10:25:16 +0000,0,Free,2,0,0,3,https://api.soundcloud.com/users/2023191,nicklaw8
no exception,1,28,loco_ono,elliot-avery-brookes,1,23,48,2016/07/23 22:41:40 +0000,0,Free,0,0,221,4,https://api.soundcloud.com/users/11864156,Elliot Avery
no exception,1,29,loco_ono,sam-birkett-1,10,32,103,2015/08/29 10:57:47 +0000,0,Free,2,0,60,0,https://api.soundcloud.com/users/26666316,Sam Birkett
no exception,1,30,loco_ono,bagzby,1,42,59,2016/11/16 22:54:23 +0000,0,Free,0,0,0,22,https://api.soundcloud.com/users/26898929,Jordan Nathaniel Brynley Griffiths
no exception,1,31,loco_ono,lorraine-morton-1,0,91,621,2016/10/14 14:56:51 +0000,0,Free,0,0,0,0,https://api.soundcloud.com/users/27091573,Lorrie1305
no exception,1,32,loco_ono,gracez123,0,2,1,2016/09/17 16:53:29 +0000,0,Free,0,0,0,1,https://api.soundcloud.com/users/44496904,gracez123
no exception,1,33,loco_ono,user538390848,0,0,1,2016/06/02 21:51:32 +0000,0,Free,0,0,0,0,https://api.soundcloud.com/users/54669812,user538390848
no exception,1,34,loco_ono,grooovybuddha,1,6,17,2016/10/03 21:46:43 +0000,0,Free,1,0,36,0,https://api.soundcloud.com/users/95906477,groovybuddha
